Anbieter,Ok Power,Grünstrom,Energie & Managment,Verbraucher Niedersachsen,Vergleich Bundesnetzagentur,Telefon,Website,Adresse,Verfügbarkeit
1&1 Energy GmbH,,,,,bna,,,Elgendorfer Straße 57 - 56410 Montabaur,
17er Oberlandenergie GmbH,,,true,false,true,,,Viehmarktplatz 1 - 82418 Murnau,
24/7 Energie & Kommunikation GmbH,,,,,bna,,,Meeboldstraße 1 - 89522 Heidenheim,
365 AG,,,,,bna,,,Aachener Straße 1253 - 50858 Köln,
A&A Stromallianz Solutions GmbH,,,,,bna,,,Zehdenicker Str. 19 - 10119 Berlin,
AggerEnergie GmbH,,true,false,false,true,02261 30030,www.aggerenergie.de/de/privatkunden/strom.html,Alexander-Fleming-Str. 2 - 51643 Gummersbach,regional
Ahrtal-Werke GmbH,,,true,false,true,,,Hauptstraße 116 - 53474 Bad Neuenahr-Ahrweiler,
Albert Beck GmbH,,,,,bna,,,Glöcknerpfad 48-52 - 34134 Kassel,
ALBSTADTWERKE GmbH,,,,,bna,,,Goethestraße 91 - 72461 Albstadt,
Albwerk GmbH & Co. KG,true,,false,false,true,Tel. 07331 / 209-600,www.albwerk.de,Eybstraße 98-102 - 73312 Geislingen an der Steige,
Alpiq Energie Deutschland GmbH,,,,,bna,,,Kantstraße 21 - 10623 Berlin,
alz strom vertriebs GmbH,,,,,bna,,,Stefan Flötzl Str. 4 - 83342 Tacherting,
"AMB R. Adolf - C. Kämpf Mineralöle, Schmierstoffe
und Transport GmbH",,,,,bna,,,Graf-Heinrich-Straße 24 - 57627 Hachenburg,
Ammer Loisach Energie GmbH,,,,,bna,,,Schnitzlergasse 5 - 82487 Oberammergau,
Andreas Stegerhoff,,,,,bna,,,Röntgenstr. 19 - 46325 Borken,
Apolog GmbH,,,,,bna,,,Sonnenallee 2 - 66287 Quierschied,
APW-Energie GmbH,,,,,bna,,,Kolpingstraße 37 - 59329 Wadersloh,
Arktis Energy GmbH,,,,,bna,,,Nonnendammallee 42 - 13599 Berlin,
ASEW Energie und Umwelt Service GmbH & Co. KG,true,,false,false,false,Tel. 0221 / 931819-18,www.asew.de,,
Audax Energie GmbH,,,,,bna,,,Otto-Franke-Straße 97 - 12489 Berlin,
AVIA AG,true,,false,false,false,Tel. 089 / 455045–0,www.avia.de,,
AVIA Steingass Mineralöle GmbH,,,,,bna,,,Bensberger Straße  5 - 51375 Leverkusen,
AVU Aktiengesellschaft für Versorgungs-Unternehmen ,true,,false,false,false,Tel. 02332 / 73605,www.avu.de,,
aWATTar Deutschland GmbH,,,,,bna,,,Friedrichstraße 246 - 10969 Berlin,
aws Wärme Service GmbH,,,,,bna,,,Hohe Bleichen 18 - 20354 Hamburg,
B.R.A.S.S.T. Bau GmbH,,,,,bna,,,Gartenstraße 15 - 13088 Berlin,
badenova AG & Co. KG,true,,false,false,false,Tel. 08002 / 83 84 85,www.badenova.de,,
BarMalGas GmbH,,,,,bna,,,Seestraße 33 - 14974 Ludwigsfelde,
Bayer Industry Services GmbH,,,,,bna,,, - 51368 Leverkusen,
Bayernwerk Regio Energie GmbH,,,,,bna,,,Lilienthalstraße 7 - 93049 Regensburg,
BayWa Ökoenergie GmbH,true,,true,false,true,Tel. 0800 / 7241640,www.baywa-oekoenergie.de,Grillparzerstraße 12a - 81675 München,
BayWa r.e. Clean Energy Sourcing GmbH,,,,,bna,,,Katharinenstraße 6 - 4109 Leipzig,
BayWa r.e. Green Energy Products GmbH,,,,,bna,,,Grillparzerstraße 12a - 81675 München,
BayWa r.e. renewable energy GmbH,,,true,false,false,,,,
bbsw Energie GmbH,,,,,bna,,,Im Altenhagen 1 - 32839 Steinheim/Westf.,
BCS Wärme GmbH,,,,,bna,,,Markt 19 - 6682 Teuchern,
BEEGY GmbH,,,,,bna,,,"L 13, 3-4 - 68161 Mannheim",
Beer Energien GmbH & Co. KG,,,,,bna,,,Saganer Straße 31 - 90475 Nürnberg,
BEG Energietechnik GmbH,,,,,bna,,,Maria-Salome-Buchmüller-Straße 1 - 79115 Freiburg,
BELKAW GmbH,,,,,bna,,,Hermann-Löns-Straße 131-133 - 51469 Bergisch Gladbach,
Benergie-Service GmbH,,,true,false,true,,,Schlachte 45 - 28195 Bremen,
Berg Mineralöl  GmbH,,,,,bna,,,Tuchschererstraße 17 - 67551 Worms,
BerLa GmbH,,,,,bna,,,Hahnerberger Straße 26 - 42349 Wuppertal,
Berliner Energieagentur GmbH,,,,,bna,,,Französische Straße 23 - 10117 Berlin,
Berliner Stadtwerke GmbH,,,true,false,true,,,Am Köllnischen Park 1 - 10179 Berlin,
Bernburger Mineralölvertrieb Lühmann GmbH & Co. KG,,,,,bna,,,"Weizenberg 20, OT Neundorf - 39418 Staßfurt",
BEV Bayrische Energieversorgungsgesellschaft mbH,,,,,bna,,,Nymphenburger Straße 154 - 80634 München,
BHM Berliner Energiehandel GmbH,,,,,bna,,,Westhafenstraße 1 - 13353 Berlin,
Biermann GmbH Energie,,,,,bna,,,Friedrich-Ebert-Straße 65 - 59425 Unna,
BIGGE ENERGIE GmbH & Co. KG,,,,,bna,,,In der Stesse 14 - 57439 Attendorn,
Bioenergie Am Kiecker GmbH & Co. KG,,,,,bna,,,Kastanienallee 1 - 17291 Nordwestuckermark,
Bioenergie am Landsberg GmbH & Co. KG,,,,,bna,,,Bucken 1 - 24614 Aukrug,
Bioenergie Fürstenhagen GmbH & Co. KG,,,,,bna,,,Milchstraße 15 - 17258 Feldberger Seenlandschaft,
Bioenergie Haar GmbH & Co. KG,,,,,bna,,,Hauptstraße 2 - 19273 Darchau,
Bioenergie Lintig I GbR,,,,,bna,,,Hainmühlener Straße 1 - 27624 Geestland,
Bioenergie Rondeshagen GmbH & Co. KG,,,,,bna,,,Zur Drögermühle 31 - 23919 Rondeshagen,
Bioenergie Vehlow GmbH & Co. KG,,,,,bna,,,Lindenstraße 6 - 16866 Gumtow OT Vehlow,
Bioenergie Witt KG,,,,,bna,,,Magdalenenhof 1 - 24395 Stangheck,
Biogas Alte Au GmbH & Co. KG,,,,,bna,,,Osterstraße 4b - 25926 Bramstedtlund,
Biogas Andresen GmbH & Co. KG,,,,,bna,,,Hauptstraße 32 - 25917 Sprakenbüll,
Biogasanlage an der Vogelzunge GmbH & Co KG,,,,,bna,,,Vogelzunge 9 - 24576 Weddelbrook,
Biogas Clausen-Hansen GmbH & Co. KG,,,,,bna,,,Hollingbusch 2 - 25876 Schwabstedt,
Biogas Grieben GmbH & Co. KG,,,,,bna,,,Friedenstraße 1 - 39517 Grieben,
Biogas Linnau GmbH & Co. KG,,,,,bna,,,Am Spielplatz 4 - 24969 Lindewitt OT Linnau,
Biogas Nordwarf GmbH & Co. KG,,,,,bna,,,Diedersbüller Straße 4 - 25924 Emmelsbüll-Horsbüll,
Biokraftgesellschaft Moers/Dinslaken mbH,,,,,bna,,,Uerdinger Straße 31 - 47441 Moers,
Biomethangas Hahnennest GmbH,,,,,bna,,,Hahnennest 100 - 88356 Ostrach,
"Bischoff, Vliex & Schöngen, Pfennings
GmbH & Co. KG",,,,,bna,,,Wurmbenden 8 - 52070 Aachen,
BK Badische-Kraftwerk GmbH & Co. KG,,,,,bna,,,Gewerbepark Citè 4 - 76532 Baden-Baden,
Blomberger Versorgungsbetriebe GmbH,true,,false,false,false,Tel. 05235 / 95023051,www.bvb-blomberg.de,,
BMG Mineralölhandel GmbH,,,,,bna,,,Am Güterbahnhof Halensee 8 - 11 - 10711 Berlin,
Bonnhoff Buchenhof Bioenergie GmbH & Co. KG,,,,,bna,,,"Austraße 4 - 25365 Klein Offenseth-
Sparrieshoop",
Bonus Strom GmbH,,,,,bna,,,Mühlenberg 18 - 24857 Fahrdorf,
"BRA-CON, J.Weinrich e.K.",,,,,bna,,,Nachtbuchtweg 11 - 15838 Am Mellensee,
BRASST Energiedienstleistungsgesellschaft mbH,,,,,bna,,,Fabrikstraße 3 - 16303 Schwedt,
Bremer Energiehaus- Genossenschaft eG,,,,,bna,,,Schlachte 45 - 28195 Bremen,
Brennstoffhandel Habermann GmbH & Co. KG,,,,,bna,,,Oberdorfweg 17 - 61130 Nidderau,
"Brennstoffhandel Maschek, Inh. Annette Schleyer",,,,,bna,,,Am Alten Sportplatz - 99947 Schönstedt,
Brennstoffhandel Petersohn Inh. Jochen Scholz e.K.,,,,,bna,,,Stralsunder Straße 146 - 4349 Leipzig,
BRS Beteiligungsgesellschaft Bonn/Rhein-Sieg mbH,,,,,bna,,,Kaiser-Wilhelm-Platz 1 - 53721 Siegburg,
BS Energy Braunschweiger Versorgungs AG & Co. KG,,true,false,true,false,0531 3830,www.bs-energy.de/privatkunden/produkte/strom/bs-naturstrom-gold/,,bundesweit
"BTB -Blockheizkraftwerks,Träger- und
Betreibergesellschaft mbH Berlin",,,,,bna,,,Gaußstraße 11 - 10589 Berlin,
BTB - Energieversorgungsgesellschaft mbH,,,,,bna,,,Eichenstraße 3 B - 12435 Berlin,
Burgenland Energie GmbH,,,,,bna,,,Geußnitzer Straße 74 - 6712 Zeitz,
Bürger-Energie-Genossenschaft-Freisinger Land e. G.,,,,,bna,,,Mauermayrstraße 2 - 85354 Freising,
BürgerEnergie Thüringen Sachsen eG,,,,,bna,,,Schillerstraße 16 - 99423 Weimar,
BürgerGas GmbH,,,,,bna,,,Rudolf-Walther-Straße 4 - 63584 Gründau-Lieblos,
BürgerGrünStrom GmbH & Co. KG,,,,,bna,,,Neue Straße 17a - 91456 Markt Erlbach,
Bürger speichern Energie eG,,,,,bna,,,Goldener Steig 40 - 94116 Hutthurm,
Bürgerwerke eG,,true,true,false,true,06221 3928920,https://buergerwerke.de/strom-beziehen/unser-strom/oekostrom-aus-buergerhand/,Hans-Bunte-Straße 8-10 - 69123 Heidelberg,bundesweit
Bürgerwindpark Süderdeich GmbH & Co. KG,,,,,bna,,,Hedwigenkooger Chaussee 1 - 25764 Süderdeich,
C4 Energie Vertriebs GmbH & Co. KG,,,,,bna,,,Große Straße 13 - 22926 Ahrensburg,
CB Energie GmbH,,,,,bna,,,Konrad-Zuse-Straße 2 - 26789 Leer,
Change! Energy GmbH,,,,,bna,,,Kirchhorster Straße 39 - 30659 Hannover,
Cismarer Naturstrom GmbH & Co. KG,,,,,bna,,,Cismarfelde 16 - 23743 Grömitz,
COHAUS München GmbH,,,,,bna,,,Aberlestraße 16 - 81371 München,
ComMetering GmbH,true,,false,false,false, ,www.commetering.de,,
Contigo Energie AG,,,,,bna,,,Massenbergstraße 11 - 44787 Bochum,
cowelio GmbH,,,,,bna,,,Grüner Weg 10 - 50825 Köln,
CrämerSchmäling GmbH,,,,,bna,,,Ostenfeldmark 8-10 - 59557 Lippstadt,
cts Service GmbH,,,,,bna,,,Rhönweg 6 - 66113 Saarbrücken,
Dalkia Energie Sevice GmbH,,,,,bna,,,Carl-Ulrich-Straße 4 - 63263 Neu-Isenburg,
DB Energie GmbH,true,,false,false,true,Waldemar Schlaht  Tel. 069 / 265-23715,www.dbenergie.de,Pfarrer-Perabo-Platz 2 - 60326 Frankfurt am Main,
dean Handelsgesellschaft mbH,,,,,bna,,,Alte Feldmühle 10 - 31535 Neustadt a. Rbge.,
DEC Deutsches EnergieContor GmbH & Co. KG,,,,,bna,,,Hans-Heinrich-Warnke-Straße 2 - 29227 Celle,
DeESA GmbH,,,,,bna,,,Rudolf-Diesel-Straße 1 - 91522 Ansbach,
DEG Deutsche Energie GmbH,,,,,bna,,,Georg-Ohm-Straße 1 - 74235 Erlenbach,
Der Energiepionier Fritz Trapper,,,,,bna,,,Fürther Straße 5 - 91058 Erlangen,
"Dessauer Versorgungs-
und Verkehrsgesellschaft mbH",,,,,bna,,,Albrechtstraße 48 - 6844 Dessau-Roßlau,
DEVG Deutsche Energie Versorgung GmbH & Co.KG,,,,,bna,,,Pappelallee 28 - 22089 Hamburg,
Die Energieagenten Versorgungs-GmbH,,,,,bna,,,Wilhelm-Hamacher-Platz 27 - 53840 Troisdorf,
Die Energievorsorger GmbH,,,true,false,true,,,An der Mühlenbreede 4 - 49525 Lengerich,
Digital Energy Solutions GmbH & Co. KG,,,,,bna,,,Arnulfstraße 205 - 80637 München,
Dreischtrom GmbH,,,,,bna,,,Industriegelände Straße D Nr. 2a - 2977 Hoyerswerda,
DREWAG,,,,,bna,,,Rosenstraße 32 - 1067 Dresden,
Dritte WRB GmbH & Co. KG,,,,,bna,,,Herringhauser Straße 28 - 49163 Bohmte,
e:veen Energie eG,,,,,bna,,,Hollerithallee 17 - 30149 Hannover,
E.ON Energie Deutschland GmbH,,,,,bna,,,Arnulfstraße 203 - 80634 München,
E.ON Energie Deutschland GmbH (Lüneburg),,,,true,false,,,,
E.ON Energy Solutions GmbH,,,,,bna,,,Carl-von-Linde-Straße 38 - 85716 Unterschleißheim,
e.optimum AG,,,,,bna,,,Beim Alten Ausbesserungswerk 2a - 77654 Offenburg,
E.VITA GmbH,,,,,bna,,,Elwertstr. 3 - 70372 Stuttgart,
e.wa riss GmbH & Co. KG,,,,,bna,,,Freiburger Straße 6 - 88400 Biberach a. d. Riß,
EAG Energie Abrechnungs- und Service GmbH,,,,,bna,,,Oetinghauser Straße 16 - 32120 Hiddenhausen,
EAM Energie GmbH,,,,,bna,,,Monteverdistraße 2 - 34131 Kassel,
EAM GmbH & Co. KG,,,true,false,false,,,,
easyOptimize GmbH,,,,,bna,,,Altenessener Straße 27 - 45141 Essen,
EBERwerk GmbH & Co. KG,,,,,bna,,,Eichthalstraße 10 - 85560 Ebersberg,
EBLD Schweiz Strom GmbH,,,,,bna,,,Friedrichstraße 1 - 79618 Rheinfelden,
Eckhardt GmbH,,,,,bna,,,Rathausstraße 23 - 64750 Lützelbach,
ECN Energie GmbH,,,,,bna,,,Hauptstraße 170 - 26639 Wiesmoor,
EcoPowerPlus GmbH,,,,,bna,,,Reichpitschufer 86-90 - 10785 Berlin,
EDi Energie-Direkt Hohenlohe GmbH,,,,,bna,,,Kuhallmand 26 - 74613 Öhringen,
EEGY UG (haftungsbeschränkt),,,,,bna,,,Quellental 4 - 22609 Hamburg,
eeMobility GmbH,,,,,bna,,,Landwehrstraße 60-62 - 80336 München,
EE PV 3 GmbH & Co. KG,,,,,bna,,,Eilveser Hauptstr. 56 - 31535 Neustadt,
EE PV 4 GmbH & Co. KG,,,,,bna,,,Eilveser Hauptstr. 56 - 31535 Neustadt,
eforna e.K.,,,,,bna,,,Markloweg 1A - 49086 Osnabrück,
"EGC Energie- und Gebäudetechnik Control
GmbH & Co. KG",,,,,bna,,,Am Seestern 4 - 40547 Düsseldorf,
EGF EnergieGesellschaft Frankenberg mbH,,,true,false,false,,,,
Eggers Energy GmbH,,,,,bna,,,Rödemishallig 10 - 25813 Husum,
EGT Energiehandel GmbH,true,,false,false,true, ,www.egt.de,Schonacher Straße 2 - 78098 Triberg,
EGT Energievertrieb GmbH,,,,,bna,,,Schonacher Straße 2 - 78098 Triberg,
Eichsfelder Energie- und Wasserversorgungs GmbH,,,,true,false,,,,
"Eigenbetrieb nach der Anstalts- und
Eigenbetriebsverordnung Rheinland-Pfalz",,,,,bna,,,Rummelstraße 15 - 67685 Weilerbach,
Einhorn-Energie GmbH & Co. KG,,,true,false,true,,,Mühlenweg 10 - 89537 Giengen,
EINHUNDERT Energie GmbH,,,,,bna,,,Lichtstraße 43 - 50825 Köln,
eins energie in sachsen GmbH & Co. KG,,,,,bna,,,Augustusburger Straße 1 - 9111 Chemnitz,
Eisenacher Versorgungs-Betriebe GmbH,,,,,bna,,,An der Feuerwache 4 - 99817 Eisenach,
Elektrizitätsgenossenschaft Dirmstein eG,true,true,false,false,true,Tel. 06233 / 602-0,www.egdirmstein.de,Wormser Straße 111 - 67227 Frankenthal (Pfalz),regional
Elektrizitätsgenossenschaft Hasbergen eG,,,,true,false,,,,
Elektrizitätsgenossenschaft Karlstein eG,,,true,false,false,,,,
Elektrizitätsversorgung Rheinzabern,,true,false,false,false,07272 750820,www.evu-rheinzabern.de/stromversorgung/vertraege.php,,regional
Elektrizitätsversorgungsunternehmen Bruchmühlbach-Miesau,,true,false,false,false,06372 922000,www.bruchmuehlbach-miesau.de,,regional
Elektrizitätsversorgung Waldsee,,true,false,false,false,--,www.vg-rheinauen.de,,regional
Elektrizitätsversorgung Wattenheim,,true,false,false,false,030 27 572400,www.vg-h.de,,regional
Elektrizitätsversorgung Weilerbach,,true,false,false,false,06374 9220,www.evu-weilerbach.de,,regional
Elektrizitätswerk der Ortsgemeinde Gerolsheim,,,,,bna,,,Wormser Straße 111 - 67227 Frankenthal (Pfalz),
Elektrizitätswerke Reutte AG,,,true,false,false,,,,
Elektrizitätswerke Schönau Energie GmbH,,,,,bna,,,Friedrichstraße 53/55 - 79677 Schönau,
Elektrizitätswerke Schönau Vertriebs GmbH,,,,,bna,,,Friedrichstraße 53/55 - 79677 Schönau,
Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG,,,,,bna,,,Aschaffstraße 1 - 63773 Goldbach,
Elektrizitätswerk Hindelang eG,,,,,bna,,,Weidachstraße 9 - 87541 Bad Hindelang,
Elektrizitätswerk Mittelbaden AG & Co. KG,,true,false,false,true,07821 2800,www.e-werk-mittelbaden.de,Lotzbeckstraße 45 - 77933 Lahr,regional
Elektrizitätswerk Müller,,,,,bna,,,Mühlenstraße 35 - 97285 Tauberrettersheim,
Elektrizitätswerk Rieger GmbH & Co. KG,,,true,false,false,,,,
Elektrizitätswerk Tegernsee Vertriebs- und Service-KG,,,,,bna,,,Hochfeldstraße 3 - 83684 Tegernsee,
em.serv GmbH,,,,,bna,,,Kennedyallee 89 - 60596 Frankfurt am Main,
EMB Erdgas Mark Brandenburg GmbH,,,,,bna,,,Großbeerenstraße 181-183 - 14482 Potsdam,
Emil Energie GmbH,,,,,bna,,,Friedrichstraße 200 - 10117 Berlin,
EMIXO GmbH,,,,,bna,,,Rudolf-Diesel-Straße 5 - 91522 Ansbach,
Emscher Lippe Energie GmbH,,,,,bna,,,Ebertstraße 30 - 45879 Gelsenkirchen,
EnBW Ostwürttemberg DonauRies AG,,,,,bna,,,Unterer Brühl 2 - 73479 Ellwangen,
ener.my GmbH,,,true,false,true,,,Kurfürstenstraße 50 - 53115 Bonn,
enercity AG,,,,,bna,,,Ihmeplatz 2 - 30449 Hannover,
enercity - Stadtwerke Hannover AG,,true,false,false,false,0511 4300,https://www.enercity.de/privatkunden/produkte/strom/oekostrom-premium/,,regional
ENERCON Erneuerbare Energien GmbH,,,,,bna,,,Peter-Müller-Straße 14 - 40468 Düsseldorf,
Enerco Systems GmbH & Co. KG,,,,,bna,,,Pflugfelder Straße 22 - 71636 Ludwigsburg,
Energie Aktiengesellschaft Iserlohn,true,,false,false,false, ,www.energie-ag.de/,,
Energie Calw GmbH,,,,,bna,,,Bahnhofstraße 4-6 - 75365 Calw,
Energiedienst AG,,,true,false,false,,,,
Energiedienst Holding AG,,true,false,false,false,07623 921200,www.naturenergie.de/gold,,bundesweit (für Kunden >1 GWh)regional (für Kunden <1 GWh)
Energiefeld Geel GmbH & Co. KG,,,,,bna,,,Geeler Weg 10 - 24864 Brodersby,
Energiegenossenschaft Darmstadt eG,,,,,bna,,,Elisabeth-Selbert-Straße 10 - 64289 Darmstadt,
Energiegenossenschaft für Wittmund eG,,,,true,false,,,,
Energiegenossenschaft Nordwest eG,,,,,bna,,,Mühlenstraße 148 - 27753 Delmenhorst,
Energiegenossenschaft Odenwald eG,true,,false,false,false, ,www.eg-odenwald.de,,
Energiegenossenschaft Rhein-Ruhr eG,,,true,false,true,,,Heistermannstraße 65 - 46539 Dinslaken,
energieGUT GmbH,true,,false,false,true, ,www.energieGUT.de,Bungertstraße 27 - 47053 Duisburg,
Energiehandel Dresden GmbH,,,true,false,true,,,Hertha-Lindner-Str. 10 - 1067 Dresden,
Energiehandel Süd GmbH & Co. KG,,,,,bna,,,Bahnhofstraße 8/1 - 88299 Leutkirch / Allgäu,
Energiehaus Deutschland B2B GmbH,,,,,bna,,,Scheffelstraße 46 - 95447 Bayreuth,
Energiehaus Dresden eG,,,,,bna,,,Bernhardstraße 73 - 1187 Dresden,
"EnergieHof Schmalfeld
UG (haftungsbeschränkt) & Co. KG",,,,,bna,,,Kaltenkirchener Straße 30 - 24640 Schmalfeld,
ENERGIEN in REGIONEN Passau GmbH & Co. KG,,,,,bna,,,Reistinger Straße 28 - 94060 Pocking  OT Hartkirchen,
ENERGIEN in REGIONEN Rottal-Inn GmbH & Co. KG,,,,,bna,,,Reistinger Straße 28 - 94060 Pocking  OT Hartkirchen,
EnergieRevolte GmbH,,,,,bna,,,Arnoldsweilerstraße 60 - 52351 Düren,
Energie-Rhein-Sieg GmbH,,,,,bna,,,Südstraße 27 - 53757 Sankt Augustin,
ENERGIERIED GmbH & Co. KG,,,,,bna,,,Industriestraße 40 - 68623 Lampertheim,
EnergieSaarLorLux AG,,,,,bna,,,R.-Wagner-Straße 14-16 - 66111 Saarbrücken,
Energie Sachsenheim GmbH & Co. KG,,,true,false,true,,,Siemensstraße 14 - 74343 Sachsenheim,
Energie-Service Dienstleistungsgesellschaft mbH,,,,,bna,,,Tullastraße 61 - 79108 Freiburg,
"Energieservice Schmitz, Inh: Stefan J. Schmitz e.K.",,,,,bna,,,Heerstraße 472 - 50169 Kerpen,
Energie Südbayern GmbH,,,,,bna,,,Ungsteiner Straße 31 - 81539 München,
EnergieSüdwest AG,,,,,bna,,,Industriestraße 18 - 76829 Landau in der Pfalz,
Energie- u. Wasserversorgung Bonn/Rhein-Sieg GmbH,,,,,bna,,,Welschnonnenstr. 4 - 53111 Bonn,
Energie- und Medienversorgung Schwarza GmbH,,,,,bna,,,Breitscheidstr. 160 - 7407 Rudolstadt-Schwarza,
Energie und Wasser Potsdam GmbH,,,,,bna,,,Steinstraße 101 - 14480 Potsdam,
Energie- und Wasserversorgung Bitz GmbH,,,,,bna,,,Goethestraße 91 - 72461 Albstadt,
Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH (SWB Energie und Wasser),,true,false,false,false,0228 7111,www.stadtwerke-bonn.de/energieundwasser/privatkunden/produkte/strom/bonnnatur-strom.html,,regional
Energie- und Wasserversorgung Bruchsal GmbH,true,,false,false,true,Tel. 07251 / 706-444,www.bvb-blomberg.de,Schnabel-Henning-Str. 1 a - 76646 Bruchsal,
Energie- und Wasserversorgung Kirchzarten GmbH,,,true,false,false,,,,
Energie- und Wasserversorgung Rheine GmbH,true,,false,false,false,Tel. 05971 / 45193,www.stadtwerke-rheine.de,,
Energie und Wasser Waldbröl GmbH,,,true,false,false,,,,
Energieversorger Deutsche BürgerEnergie GmbH,,,,,bna,,,Südwestpark 60 - 90449 Nürnberg,
Energieversorgung Apolda GmbH,,,,,bna,,,Heidenberg 52 - 99510 Apolda,
Energieversorgung Bad Bentheim GmbH & Co. KG,,,,,bna,,,Zum Ferienpark 1 - 48455 Bad Bentheim,
Energieversorgung Bad Boll GmbH,true,,false,false,false,Tel. 07164 / 808-25,www.energie-bollwerk.de,,
Energieversorgung Dahlenburg-Bleckede AG,,,,true,false,,,,
Energieversorgung Emsbüren GmbH,,,,,bna,,,Nordring 62 - 48465 Schüttorf,
Energieversorgung Filstal GmbH & Co. KG,,,,,bna,,,Großeislinger Straße 30 - 73033 Göppingen,
Energieversorgung Greiz GmbH,,,,,bna,,,Mollbergstraße 20 - 7973 Greiz,
Energieversorgung Guben GmbH,,,,,bna,,,Gasstraße 11 - 3172 Guben,
Energieversorgung Klettgau-Rheintal GmbH & Co. KG,,,,,bna,,,Schaffhauser Straße 7 - 79771 Klettgau,
Energieversorgung Kranenburg GmbH,,,true,false,false,,,,
Energieversorgung Leverkusen GmbH & Co. KG,,,,,bna,,,Overfeldweg 23 - 51371 Leverkusen,
Energieversorgung Limburg GmbH,,,,,bna,,,Ste.-Foy-Straße 36 - 65549 Limburg,
Energieversorgung Mainhardt Wüstenrot GmbH & Co KG,,,true,false,false,,,,
Energieversorgung Main-Spessart GmbH,,,,,bna,,,Goldbacher Straße 6 - 63739 Aschaffenburg,
Energieversorgung Marienberg GmbH,,,,,bna,,,Dr. Wilhelm-Külz-Allee - 9496 Marienberg,
Energieversorgung Michelfeld GmbH,,,true,false,false,,,,
Energieversorgung Mittelrhein AG,,,,,bna,,,Ludwig-Erhard-Straße 8 - 56073 Koblenz,
Energieversorgung Oberes Wiesental GmbH,,true,true,false,false,07671 999960,www.eow-todtnau.de/,,regional
Energieversorgung Oberhausen Aktiengesellschaft,,,true,false,false,,,,
Energieversorgung Offenbach AG (EVO),,,true,false,false,,,,
Energieversorgung Pirna GmbH,,,,,bna,,,Seminarstraße 18b - 1796 Pirna,
Energieversorgung Rodau GmbH,,,true,false,true,,,Friedberger Straße 37 - 63110 Rodgau,
Energieversorgung Rudolstadt GmbH,,,,,bna,,,Oststraße 18 - 7407 Rudolstadt,
Energieversorgung Rüsselsheim GmbH,true,,false,false,true,Tel. 06142 / 500-222,www.stadtwerke-ruesselsheim.de,Walter-Flex-Straße 74 - 65428 Rüsselsheim,
Energieversorgung Schmalkalden GmbH,,,,,bna,,,Auer Gasse 2-4 - 98574 Schmalkalden,
Energieversorgung Sehnde GmbH,,,,,bna,,,Nordstraße 19 - 31319 Sehnde,
Energieversorgung Selb-Marktredwitz GmbH,,,,,bna,,,Gebrüder-Netzsch-Straße 14 - 95100 Selb,
Energieversorgung Sylt GmbH,,,true,false,false,,,,
Energieversorgung Titisee-Neustadt GmbH,,,true,false,true,,,Pfauenstraße 2 - 79822 Titisee-Neustadt,
