,Column_x,Firmenname,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Column_y,Firmenanschrift,PLZ,Firmenort,Telefon,Website,OK Power,Grüner Strom,Verfügbarkeit
0,35.0,BayWa Ökoenergie GmbH,True,True,True,True,5.0,Grillparzerstraße 12a,81675,München,0800 7241640,www.baywa-oekoenergie.de,True,,
1,62.0,Bremer SolidarStrom,True,,True,True,,,,,,,,,
2,37.0,BS ENERGY Braunschweiger Versorgungs-AG & Co. KG,True,True,,True,,,,,,,,,
3,38.0,Bürgerinitiative Umweltschutz e.V.,True,True,,True,,,,,,,,,
4,39.0,Bürgerwerke eG,True,True,True,True,77.0,,,,06221 3928920,https://buergerwerke.de,,True,bundesweit
5,5.0,DB Energie,True,True,,,,,,,,,,,
6,15.0,Die Heidelberger Solidarstromer,True,,,True,,,,,,,,,
7,29.0,Die Schriesheimer Ökostromer,True,,,True,,,,,,,,,
8,40.0,energieGUT GmbH,True,True,,,15.0,Bungertstr. 27,47053,Duisburg, ,www.energieGUT.de,True,,
9,14.0,EVH Energieversorgung Halle GmbH,True,True,,,,,,,,,,,
10,41.0,energy4u GmbH & Co. KG,True,True,,,19.0,Bachstraße 3,53721,Siegburg,0800 7878708,www.energy4u.de,True,,
11,6.0,Enspire Energie - Marke der Stadtwerke Konstanz,True,True,True,True,,,,,,,,,
12,43.0,ENTEGA Energie GmbH,True,True,True,,21.0,Frankfurter Str. 100,64289,Darmstadt,0800 1111 0555,www.entega.de,True,,
13,45.0,EWS Elektrizitätswerke Schönau eG / EWS Vertriebs GmbH,True,True,True,True,,,,,,,,,
14,46.0,Fair Trade Power Deutschland GmbH,True,True,True,,90.0,,,,089 2112210,www.fairtradepower.de,,True,bundesweit
15,47.0,GENO Energie GmbH,True,True,,,,,,,,,,,
16,48.0,Greenpeace Energy eG,True,True,True,True,30.0,Hongkongstr. 10,20457,Hamburg,040 808 110600,www.greenpeace-energy.de,True,,
17,23.0,Klimaschutz+ Energiegenossenschaft,True,,,True,,,,,,,,,
18,16.0,LichtBlick,True,True,True,,,,,,,,,,
19,17.0,MANN Naturenergie GmbH & Co. KG ,True,True,True,True,,,,,,,,,
20,50.0,NATURSTROM AG/ NaturStromHandel GmbH,True,True,True,True,,,,,,,,,
21,51.0,NN,,True,,,,,,,,,,,
22,52.0,Nordstadtwerke GmbH,True,True,,,,,,,,,,,
23,77.0,Ökostromer Edingen-Neckarhausen ,True,,True,True,,,,,,,,,
24,0.0,123energie - Marke der Pfalzwerke,True,True,,,,,,,,,,,
25,53.0,Polarstern Energie,True,True,True,True,,,,,,,,,
26,54.0,ProEngeno GmbH und Co. KG,True,True,True,True,,,,,,,,,
27,55.0,PROKON Regenerative Energien eG,True,True,True,True,,,,,,,,,
28,30.0,Simply Green - Marke der ProSiebenSat.1 Digital,True,True,,,,,,,,,,,
29,28.0,RhönEnergie Fulda,True,,,,,,,,,,,,
30,83.0,Savero,,,,True,,,,,,,,,
31,57.0,Stadtwerke Flensburg GmbH,True,True,,,52.0,Batteriestr. 48,24939,Flensburg,0461 487 44 55,www.stadtwerke-flensburg.de,True,,
32,58.0,Stadtwerke Müllheim Staufen GmbH,True,True,,True,,,,,,,,,
33,59.0,Stadtwerke Münster GmbH,True,True,,,118.0,,,,0251 6941212,www.stadtwerke-muenster.de,,True,bundesweit
34,60.0,susiEnergie,True,True,,,,,,,,,,,
35,61.0,wemio,True,True,,,,,,,,,,,
36,,Agger Energie GmbH,,,,,75.0,,,,02261 30030,www.aggerenergie.de,,True,regional
37,,Albwerk GmbH & Co. KG,,,,,0.0,Eybstraße 98-102,73312,Geislingen,07331 209600,www.albwerk.de,True,,
38,,ASEW Energie und Umwelt Service GmbH & Co. KG,,,,,1.0,Eupener Str. 74,50933,Köln,0221 93181918,www.asew.de,True,,
39,,AVIA AG,,,,,2.0,Grillparzerstr. 8,81675,München,089 4550450,www.avia.de,True,,
40,,AVU Aktiengesellschaft für Versorgungs-Unternehmen ,,,,,3.0,An der Drehbank 18,58285,Gevelsberg,02332 73605,www.avu.de,True,,
41,,badenova AG & Co. KG,,,,,4.0,Tullastr. 61,79108,Freiburg,08002 83 84 85,www.badenova.de,True,,
42,,Blomberger Versorgungsbetriebe GmbH,,,,,6.0,Nederlandstr. 15,32825,Blomberg,05235 95023051,www.bvb-blomberg.de,True,,
43,,BS|ENERGY Braunschweiger Versorgungs-AG & Co.KG,,,,,76.0,,,,0531 3830,www.bs-energy.de,,True,bundesweit
44,,ComMetering GmbH,,,,,7.0,Rathausstraße 4,88457,Kirchdorf, ,www.commetering.de,True,,
45,,DB Energie GmbH,,,,,8.0,Pfarrer-Perabo-Platz 2,60326,Frankfurt,069 26523715,www.dbenergie.de,True,,
46,,EGT Energiehandel GmbH,,,,,9.0,Schonacherstr. 2,78098,Triberg, ,www.egt.de,True,,
47,,Elektrizitätsgenossenschaft Dirmstein eG,,,,,10.0,Wormser Straße 111,67227,Frankenthal (Pfalz),06233 6020,www.egdirmstein.de,True,True,regional
48,,Elektrizitätsversorgung Rheinzabern,,,,,78.0,,,,07272 750820,www.evu-rheinzabern.de,,True,regional
49,,Elektrizitätsversorgungsunternehmen Bruchmühlbach-Miesau,,,,,82.0,,,,06372 922000,www.bruchmuehlbach-miesau.de,,True,regional
50,,Elektrizitätsversorgung Waldsee,,,,,79.0,,,,,www.vg-rheinauen.de,,True,regional
51,,Elektrizitätsversorgung Wattenheim,,,,,80.0,,,,030 27 572400,www.vg-h.de,,True,regional
52,,Elektrizitätsversorgung Weilerbach,,,,,81.0,,,,06374 9220,www.evu-weilerbach.de,,True,regional
53,,Elektrizitätswerk Mittelbaden AG & Co. KG,,,,,83.0,,,,07821 2800,www.e-werk-mittelbaden.de,,True,regional
54,,enercity - Stadtwerke Hannover AG,,,,,84.0,,,,0511 4300,www.enercity.de/,,True,regional
55,,Energie Aktiengesellschaft Iserlohn,,,,,13.0,Stefanstr. 4-8,58636,Iserlohn, ,www.energie-ag.de/,True,,
56,,Energiedienst Holding AG,,,,,86.0,,,,07623 921200,www.naturenergie.de,,True,regional
57,,Energiegenossenschaft Odenwald eG,,,,,14.0,Helmholtzstraße 1,64711,Erbach, ,www.eg-odenwald.de,True,,
58,,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH (SWB Energie und Wasser),,,,,85.0,,,,0228 7111,www.stadtwerke-bonn.de,,True,regional
59,,Energie- und Wasserversorgung Bruchsal GmbH,,,,,11.0,Schnabel-Henning-Str. 1a,76646,Bruchsal,07251 706444,www.bvb-blomberg.de,True,,
60,,Energie- und Wasserversorgung Rheine GmbH,,,,,12.0,Hafenbahn 10,48431,Rheine,05971 45193,www.stadtwerke-rheine.de,True,,
61,,Energieversorgung Bad Boll GmbH,,,,,16.0,Hauptstr. 94,73087,Bad Boll,07164 80825,www.energie-bollwerk.de,True,,
62,,Energieversorgung Oberes Wiesental GmbH Todtnau,,,,,87.0,,,,07671 999960,www.eow-todtnau.de,,True,regional
63,,Energieversorgung Rüsselsheim GmbH,,,,,17.0,Walter-Flex-Str. 74,65428,Rüsselsheim,06142 500222,www.stadtwerke-ruesselsheim.de,True,,
64,,Energieversorung Trossingen GmbH,,,,,88.0,,,,07425 94020,www.swtro.de,,True,regional
65,,Energiewerke Waldbröl GmbH,,,,,18.0,Nümbrechter Straße 6,51545,Waldbröl,02291 90880,www.ew-waldbroel.de,True,,
66,,Energy Air GmbH,,,,,89.0,,,,069690 60539,www.fraport.de,,True,regional
67,,enewa GmbH Energie + Wasser Wachtberg,,,,,20.0,Am Wachtbergring 2a,53343,Wachtberg,0228 3773680,www.enewa.de,True,,
68,,ESDG Energie-Service Dienstleistungsgesellschaft mbH,,,,,23.0,Tullastr. 61,79108,Freiburg, ,www.esdg.de,True,True,bundesweit
69,,ESWE Versorgungs AG,,,,,24.0,Konradinerallee 25,65189,Wiesbaden, ,www.eswe-versorgung.de,True,,
70,,EVH GmbH,,,,,25.0,Bornknechtstraße 5,06108,Halle (Saale),0800 581 33 33,www.evh.de,True,,
71,,EWS Elektrizitätswerke Schönau Vertriebs GmbH,,,,,26.0,Friedrichstr. 53/55,79677,Schönau im Schwarzwald,07673 88850,www.ews-schoenau.de,True,,
72,,Gemeindewerke Bad Sassendorf GmbH,,,,,27.0,Eichendorffstraße 1,59505,Bad Sassendorf,02921 50581,,True,,
73,,Gemeindewerke Bobenheim-Roxheim GmbH,,,,,91.0,,,,06233 6020,www.gemeindewerke-boro.de,,True,regional
74,,Gemeindewerke Halstenbek,,,,,92.0,,,,04101 4907112,www.gwhalstenbek.de,,True,regional
75,,Gemeindewerke Hardt,,,,,93.0,,,,07422 95880,www.hardt-online.de/gemeindewerke,,True,regional
76,,Gemeindewerke Haßloch GmbH,,,,,94.0,,,,06324 59940,www.gwhassloch.de,,True,regional
77,,Gemeindewerke Herxheim,,,,,95.0,,,,07276 50140,www.gemeindewerke-herxheim.de,,True,regional
78,,Gemeindewerke Lambsheim,,,,,96.0,,,,06233 51090,www.lambsheim-hessheim.de,,True,regional
79,,Gemeindewerke Münchweiler,,,,,97.0,,,,06395 92110,www.gemeindewerke-muenchweiler.de,,True,regional
80,,Gemeindewerke Ruppichteroth GmbH,,,,,28.0,Brölstraße 5,53809,Ruppichteroth,02295 907000,,True,,
81,,Gemeindewerke Waldfischbach-Burgalben,,,,,98.0,,,,06333 27580,www.energie.waldfischbach-burgalben.de,,True,regional
82,,Georg Oest Mineralölwerk GmbH & Co. KG,,,,,29.0,Georg-Oest-Str. 4,72250,Freudenstadt,0744 1539112,www.oest.de,True,,
83,,GWS Stadtwerke Hameln GmbH,,,,,99.0,,,,05151 7880,www.stadtwerke-hameln.de/,,True,regional
84,,Heinrich Klöcker GmbH & Co. KG,,,,,32.0,Ahauser Str. 21,46325,Borken,0286 1800744,www.kloecker.de,True,,
85,,Hellweg Energie GmbH,,,,,33.0,Bunsenstrasse 2,59557,Lippstadt,0241 282 9233,www.hellwegenergie.de,True,,
86,,Hermann Bantleon GmbH,,,,,34.0,Blaubeurer Straße 32,89077,Ulm/Donau,0731 3990190,www.bantleon.de,True,,
87,,HKD Handelsgesellschaft für Kirche und Diakonie mbH,,,,,35.0,Herzog-Friedrich-Str. 45,24103,Kiel,0431 54 448844,www.hkd.de,True,,
88,,Hochsauerland Energie GmbH,,,,,36.0,Auf'm Brinke 11,59872,Meschede,0290 4712 8011,www.hochsauerlandenergie.de,True,,
89,,KESLAR GmbH Energiehandel,,,,,38.0,Ostbahnhofstr. 1,87437,Kempten,0831 5753027,www.keslar.de,True,,
90,,LichtBlick SE,,,,,39.0,Zirkusweg 6,20359,Hamburg,040 80803030,www.lichtblick.de,True,,
91,,lLZHÖFERS Nachf. lnh. Walch KG,,,,,37.0,Siebentischstr. 16a,86161,Augsburg,0821 5608027,www.ilzhoefer.com,True,,
92,,Mainova AG,,,,,100.0,,,,0800 1144488,www.mainova.de,,True,regional
93,,MANN Naturenergie GmbH & Co. KG,,,,,101.0,,,,02661 626215,www.mannstrom.de,,True,bundesweit
94,,Mark-E AG,,,,,41.0,Körnerstraße 40,58095,Hagen,0800 123 1000,www.mark-e.de,True,,
95,,MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH,,,,,42.0,Rheinpromenade 3a,40789,Monheim am Rhein,02173 9520222,www.mega-monheim.de,True,,
96,,Mindener Stadtwerke GmbH,,,,,102.0,,,,0800 5278941,www.mindener-stadtwerke.de,,True,regional
97,,NaturEnergie + Deutschland GmbH,,,,,103.0,,,,0800 9999973,www.naturenergieplus.de/,,True,bundesweit
98,,NATURSTROM AG,,,,,104.0,,,,0211 77 900 100,www.naturstrom.de,,True,bundesweit
99,,NEW Niederrhein Energie und Wasser GmbH,,,,,105.0,,,,0800 6886881,www.new-energie.de,,True,regional
100,,Otto Fricke & Co. GmbH,,,,,43.0,Kaiserstr. 36,33330,Gütersloh,05241 10054,www.fricke-oil.de,True,,
101,,Pfalzwerke AG,,,,,44.0,Kurfüstenstr. 29,67061,Ludwigshafen,0621 570573123,www.123energie.de,True,,
102,,PFALZWERKE AKTIENGESELLSCHAFT,,,,,106.0,,,,0800 2792000,www.pfalzwerke.de,,True,regional
103,,Polarstern GmbH,,,,,107.0,,,,089 309042911,www.polarstern-energie.de/oekostrom/,,True,bundesweit
104,,PROENGENO GmbH & Co. KG,,,,,108.0,,,,04902 9157000,www.proengeno.de,,True,bundesweit
105,,PROKON regenerative Energien eG,,,,,45.0,Kirchhoffstraße 3,25524,Itzehoe,04821 6855222,www.prokon.net,True,,
106,,Regionalwerk Bodensee GmbH & Co. KG,,,,,109.0,,,,07542 93790,www.rw-bodensee.de,,True,regional
107,,Repower AG,,,,,46.0,Via da Clalt 12,CH-7742,Poschiavo, ,,True,,
108,,REWAG Regensburger Energie- und Wasserversorgung AG & Co KG,,,,,110.0,,,,0800 6016010,www.rewag.de,,True,regional
109,,RhönEnergie Fulda GmbH,,,,,111.0,,,,0661 12450,www.rhoenstrom.de,,True,bundesweit
110,,Stadtwerk am See GmbH & Co. KG,,,,,47.0,Kornblumenstraße 7,88046,Friedrichshafen, ,www.stadtwerk-am-see.de,True,,
111,,Stadtwerke Aachen AG,,,,,48.0,Lombardenstr. 12-22,52070,Aachen,0241 1810,www.stawag.de,True,,
112,,Stadtwerke Altdorf GmbH,,,,,49.0,Hersbrucker Str. 6a,90518,Altdorf b. Nürnberg,09187 9290,www.stadtwerke-altdorf.de,True,,
113,,Stadtwerke Annweiler am Trifels,,,,,112.0,,,,06346 30090,www.stadtwerke-annweiler.de,,True,regional
114,,Stadtwerke Bad Dürkheim,,,,,113.0,,,,06322 935813,www.sw-duerkheim.de,,True,regional
115,,Stadtwerke Bliestal GmbH,,,,,114.0,,,,06381 42070,www.stadtwerke.kusel.de,,True,regional
116,,Stadtwerke Ettlingen GmbH,,,,,50.0,Hertzstraße 33,76275,Ettlingen,07243 101619,www.sw-ettlingen.de,True,,
117,,Stadtwerke Eutin GmbH,,,,,51.0,Holstenstr. 6,23701,Eutin,04521 705300,www.stadtwerke-eutin.de/,True,,
118,,Stadtwerke Frankenthal GmbH,,,,,53.0,Wormser Straße 111,67227,Frankenthal (Pfalz),06233 6020,www.swift-energy.de,True,,
119,,Stadtwerke Geldern GmbH,,,,,54.0,Markt 25,47608,Geldern,02831 933343,www.swgeldern.de,True,,
120,,Stadtwerke Heidelberg Energie GmbH,,,,,55.0,Kurfürsten-Anlage 42-50,69115,Heidelberg,06221 5130,www.hvv-heidelberg.de,True,,
121,,Stadtwerke Iserlohn GmbH,,,,,56.0,Stefanstr. 4-8,58636,Iserlohn,0800 5892242,www.sauerlandstrom-natur.de,True,,
122,,Stadtwerke Karlsruhe GmbH,,,,,57.0,Daxlander Str. 72,76185,Karlsruhe,0800 200 300 6,www.stadtwerke-karlsruhe.de,True,,
123,,Stadtwerke Lambrecht (Pfalz) GmbH,,,,,115.0,,,,06325 1890,www.sw-lambrecht.de,,True,regional
124,,Stadtwerke Langenfeld GmbH,,,,,58.0,Langforter Str. 7,40764,Langenfeld,02173 979542,www.stw-langenfeld.de,True,,
125,,Stadtwerke Lengerich GmbH,,,,,59.0,An der Mühlenbreede 4,49525,Lengerich,054 81 80 0540,www.stadtwerke-lengerich.de,True,,
126,,Stadtwerke Lippstadt,,,,,60.0,Bunsenstr. 2,59557,Lippstadt,02941 282912,www.stadtwerke-lippstadt.de,True,,
127,,Stadtwerke Löffingen,,,,,116.0,,,,07654 8020,www.stadtwerke-loeffingen.de,,True,regional
128,,Stadtwerke Lüdenscheid GmbH,,,,,61.0,Lennestraße 2,58507,Lüdenscheid,0800 157 1000,www.swls.de,True,,
129,,Stadtwerke Ludwigsburg-Kornwestheim GmbH,,,,,62.0,Gänsfußallee 23,71636,Ludwigsburg,07141 9102577,www.swlb.de,True,,
130,,Stadtwerke Menden GmbH,,,,,117.0,,,,02373 169 2313,www.stadtwerke-menden.de,,True,regional
131,,Stadtwerke MüllheimStaufen GmbH,,,,,63.0,Am Schießrain 1a,79219,Staufen i.Br.,07631 936080,www.sw-muellheimstaufen.de,True,,
132,,Stadtwerke Neustadt/Weinstraße GmbH,,,,,119.0,,,,06321 402271,www.swneustadt.de,,True,regional
133,,Stadtwerke Pfullendorf GmbH,,,,,64.0,Bahnhofstraße 6,88630,Pfullendorf,07552 251859,www.pfullendorf.de/stadtwerke,True,,
134,,Stadtwerke Pinneberg GmbH,,,,,120.0,,,,04101 2030,www.stadtwerke-pinneberg.de,,True,regional
135,,Stadtwerke Pirmasens Versorgungs GmbH,,,,,121.0,,,,06331 8760,www.stadtwerke-pirmasens.de,,True,regional
136,,Stadtwerke Plön Versorgungs GmbH,,,,,65.0,Lübecker Straße 20,24306,Plön,04522 80 89 90,www.stadtwerke-ploen.de,True,,
137,,StadtWerke Rösrath - Energie GmbH,,,,,66.0,Hauptstr. 142,51503,Rösrath,0241 1817520,www.stadtwerke-roesrath.de,True,,
138,,Stadtwerke Schramberg GmbH & Co. KG,,,,,122.0,,,,07422 95340,www.stadtwerke-schramberg.de,,True,regional
139,,Stadtwerke Schwäbisch Gmünd GmbH,,,,,67.0,Bürgerstraße 5,73525,Schwäbisch Gmünd,07171 603 8111,www.nichtwegzudenken.de,True,,
140,,Stadtwerke Springe GmbH,,,,,123.0,,,,05041 640798,www.stadtwerke-springe.de,,True,regional
141,,Stadtwerke St. Ingbert GmbH,,,,,124.0,,,,06894 95520,www.sw-igb.de,,True,regional
142,,Stadtwerke Waiblingen GmbH,,,,,68.0,Schorndorfer Str. 67,71332,Waiblingen,07151 131184,www.sw-muellheimstaufen.de,True,,
143,,Stadtwerke Waldkirch GmbH,,,,,69.0,Fabrikstraße 15,79183,Waldkirch,07681 47788999,www.stadtwerke-waldkirch.de,True,,
144,,Stadtwerke Weserbergland,,,,,125.0,,,,05151 822870,www.stadtwerke-weserbergland.de,,True,regional
145,,Stadtwerke Willich GmbH,,,,,70.0,Brauereistraße 7,47877,Willich,02154 4702280,www.stadtwerke-willich.de,True,,
146,,Stadtwerke Zweibrücken GmbH,,,,,126.0,,,,06332 8740,www.stadtwerke-zw.de,,True,regional
147,,Stromio GmbH,,,,,71.0,Girmes-Kreuz-Str. 55,41564,Kaarst,Stromio Kundenservice (Festnetz) 0800 58 58 224 (mobil) 0211 777 957 10,www.gruenwelt.de/,True,,
148,,Stromversorgung Neunkirchen GmbH,,,,,127.0,,,,09123 1730,www.stwl.lauf.de,,True,regional
149,,StWL Städtische Werke Lauf a.d. Pegnitz GmbH,,,,,128.0,,,,09123 1730,www.stwl.lauf.de,,True,regional
150,,susiEnergie GmbH,,,,,72.0,Gerberstrasse 7,88250,Weingarten,0800 7874123,,True,,
151,,Technische Werke Schussental GmbH & Co. KG,,,,,73.0,Schussenstraße 22,88212,Ravensburg,0751 8044980,www.tws.de,True,,
152,,Verbandsgemeindewerk Dannstadt-Schauernheim,,,,,130.0,,,,06231 4010,www.vg-werk-dannstadt-schauernheim.de,,True,regional
153,,Verbandsgemeindewerke Dudenhofen,,,,,131.0,,,,06232 6560,www.vgrd.de,,True,regional
154,,Verbandsgemeindewerke Eisenberg/Ramsen,,,,,132.0,,,,06351 407100,www.vgwerke-eisenberg.de,,True,regional
155,,Verbandsgemeindewerke Enkenbach-Alsenborn,,,,,133.0,,,,06303 913124,www.enkenbach-alsenborn.de,,True,regional
156,,Verbandsgemeindewerke Hettenleidelheim,,,,,134.0,,,,0621 585-2010,www.vg-h.de,,True,regional
157,,Verbandsgemeindewerke Hochspeyer,,,,,135.0,,,,06305 710,www.vgw-hochspeyer.de,,True,regional
158,,Verbands- und Gemeindewerke Rülzheim,,,,,129.0,,,,07272 70021011,www.gemeindewerke-ruelzheim.de,,True,regional
159,,Wadersloh Energie GmbH,,,,,74.0,Liesborner Straße 5,59329,Wadersloh,02523 9501888,www.wadersloh-energie.de,True,,
160,,WEMAG AG,,,,,136.0,,,,0385 7552755,www.wemag.com/,,True,bundesweit
