,Firmenname,Firmenanschrift,PLZ,Firmenort,Stromauskunft,Verivox
0,RheinEnergie AG,Parkgürtel 24,50823,Köln,True,True
1,WSW Energie & Wasser AG,Bromberger Str. 39 - 41,42281,Wuppertal,True,True
2,enercity AG,Ihmeplatz 2,30449,Hannover,True,True
3,Elektrizitätswerke Schönau Vertriebs GmbH,Friedrichstraße 53/55,79677,Schönau/Schw.,True,True
4,Stadtwerke Leipzig GmbH,Eutritzscher Str. 17-19,04105,Leipzig,True,True
5,Stadtwerke Soest GmbH,Aldegreverwall 12,59494,Soest,True,True
6,Energiedienst AG,Schönenbergerstr. 10,79618,Rheinfelden,True,True
7,die energievorsorger GmbH,Höhenweg 14,49170,Hagen a.T.W.,True,True
8,BayWa Ökoenergie GmbH,Arabellastraße 4,81925,München,True,True
9,Greenpeace Energy eG,Hongkongstr. 10,20457,Hamburg,True,True
10,energieGUT GmbH,Bungertstr. 27,47053,Duisburg,True,True
11,badenova AG & Co. KG,Tullastraße 61,79108,Freiburg,True,True
12,MAINGAU Energie GmbH,Ringstraße 4 - 6,63179,Obertshausen,True,True
13,eprimo GmbH,Flughafenstrasse 20,63263,Neu-Isenburg,True,True
14,Yello Strom GmbH,Siegburger Straße 229,50679,Köln,True,True
15,team energie GmbH & Co. KG,team Allee 22,24392,Süderbrarup,True,True
16,MONTANA Energieversorgung GmbH & Co. KG,Dr.-Max-Straße 26,82031,Grünwald,True,True
17,lekker Energie GmbH,Invalidenstraße 17 a,10115,Berlin,True,True
18,Energieversorgung Filstal GmbH & Co. KG,Großeislinger Str. 30,73033,Göppingen,True,True
19,NaturStromHandel GmbH,Parsevalstraße 11,40468,Düsseldorf,True,True
20,LichtBlick SE,Zirkusweg 6,20359,Hamburg,True,True
21,Oberhessische Versorgungsbetriebe AG,Hanauer Straße 9-13,61169,Friedberg,True,True
22,Stadtwerke Schwerin GmbH (SWS),Eckdrift 43-45,19061,Schwerin,True,True
23,Stadtwerke Hamm GmbH,Südring 1 - 3,59065,Hamm,True,True
24,rhenag Rheinische Energie AG,Bayenthalgürtel 9,50968,Köln,True,True
25,Stadtwerke Duisburg AG,Bungertstr. 27,47053,Duisburg,True,True
26,LogoEnergie GmbH,Münsterstraße 9,53881,Euskirchen,True,True
27,EMB Energie Mark Brandenburg GmbH,Großbeerenstraße 181 - 18,14482,Potsdam,True,True
28,Stadtwerke Bochum GmbH,Ostring 28,44787,Bochum,True,True
29,NEW Niederrhein Energie und Wasser GmbH,Odenkirchener Str. 201,41236,Mönchengladbach,True,True
30,ENTEGA Energie GmbH,Frankfurter Str. 100,64293,Darmstadt,True,True
31,Stadtwerke Fellbach GmbH,Ringstraße 5,70736,Fellbach,True,True
32,susiEnergie GmbH,Gerberstraße 7,88250,Weingarten,True,True
33,Stadtwerke Tübingen GmbH,Eisenhutstr.6,72072,Tübingen,True,True
34,Stadtwerke Rostock AG,Schmarler Damm 5,18069,Rostock,True,True
35,Stadtwerke Wedel GmbH,Feldstraße 150,22880,Wedel,True,True
36,ESWE Versorgungs AG,Konradinerallee 25,65189,Wiesbaden,True,True
37,FairEnergie GmbH,Hauffstraße 89,72762,Reutlingen,True,True
38,Süwag Vertrieb AG & Co. KG,Schützenbleiche 9-11,65929,Frankfurt am Main,True,True
39,Stadtwerke Oranienburg GmbH,Klagenfurter Str. 41,16515,Oranienburg,True,True
40,EWE VERTRIEB GmbH,Cloppenburger Str. 310,26133,Oldenburg,True,True
41,Pfalzwerke AG,Kurfürstenstr. 29,67061,Ludwigshafen,True,True
42,TEAG Thüringer Energie AG,Schwerborner Straße 30,99087,Erfurt,True,True
43,E.ON Energie Deutschland GmbH,Arnulfstraße 203,80634,München,True,True
44,SWM Versorgungs GmbH,Emmy-Noether-Straße 2,80992,München,True,True
45,Stadtwerke Flensburg GmbH,Batteriestr. 48,24939,Flensburg,True,True
46,envia Mitteldeutsche Energie AG,Chemnitztalstraße 13,09114,Chemnitz,True,True
47,Stadtwerke Düsseldorf AG,Höherweg 100,40233,Düsseldorf,True,True
48,WEMAG AG,Obotritenring 40,19053,Schwerin,True,True
49,SWT Stadtwerke Trier Versorgungs-GmbH,Ostallee 7-13,54290,Trier,True,True
50,Mainova AG,Solmsstr. 38,60486,Frankfurt am Main,True,True
51,123energie - eine Marke der Pfalzwerke AG,Kurfürstenstraße 29,67061,Ludwigshafen,True,True
52,Vattenfall Europe Sales GmbH,Überseering 12,22297,Hamburg,True,True
53,Vattenfall Europe Sales GmbH,Überseering 12,22297,Hamburg,True,True
54,EVH GmbH,Bornknechtstr. 5,06108,Halle,True,True
55,Aschaffenburger Versorgungs-GmbH,Werkstraße 2,63739,Aschaffenburg,True,True
56,Stromio GmbH,Postfach 1463,39004,Magdeburg,True,True
57,Grünwelt - eine Marke der Stromio GmbH,Girmes-Kreuz-Str. 55,41564,Kaarst,True,True
58,DREWAG - Stadtwerke Dresden GmbH,Friedrich-List-Platz 2,01069,Dresden,True,True
59,ENSO Energie Sachsen Ost AG,Friedrich-List-Platz 2,01069,Dresden,True,True
60,Mark-E Aktiengesellschaft,Körnerstraße 40,58095,Hagen,True,True
61,E WIE EINFACH GmbH,Salierring 47-53,50677,Köln,True,True
62,Stadtwerke Lübeck GmbH,Geniner Straße 80,23560,Lübeck,True,True
63,GGEW Gruppen-Gas- und Elektrizitätswerk Bergstraße AG,Dammstr. 68,64625,Bensheim,True,True
64,Städtische Werke AG Kassel,Königstor 3-13,34117,Kassel,True,True
65,energiehoch3 GmbH,Ostring 28,44787,Bochum,True,True
66,SE SAUBER ENERGIE GmbH & Co. KG,Bayenthalgürtel 9,50968,Köln,True,True
67,EnBW Energie Baden-Württemberg AG,Durlacher Allee 93,76131,Karlsruhe,True,True
68,Braunschweiger Versorgungs-AG & Co. KG,Taubenstraße 7,38106,Braunschweig,True,True
69,SWP Stadtwerke Pforzheim GmbH & Co. KG,Sandweg 22,75179,Pforzheim,True,True
70,Energieversorgung Oberhausen AG,Danziger Straße 31,46045,Oberhausen,True,True
71,Grünstromwerk Vertriebs GmbH,Englische Planke 2,20459,Hamburg,True,True
72,Stadtwerke Bielefeld GmbH,Schildescher Str. 16,33611,Bielefeld,True,True
73,Stadtwerke Troisdorf GmbH,Poststr. 105,53840,Troisdorf,True,True
74,Technische Werke Ludwigshafen AG,Industriestraße 3,67063,Ludwigshafen,True,True
75,Dessauer Stromversorgung GmbH,Albrechtstraße 48,06844,Dessau,True,True
76,RhönEnergie Fulda GmbH,Bahnhofstraße 2,36037,Fulda,True,True
77,Wir Energie - eine Marke der Energiehaus Dresden eG,Wiener Str. 114-116,01219,Dresden,True,True
78,ÜZW Energie AG,Regensburger Straße 33,84051,Altheim,True,True
79,Überlandwerk Erding GmbH & Co. KG,Am Gries 21,85435,Erding,True,True
80,Überlandwerk Krumbach GmbH,Bahnhofstraße 4,86381,Krumbach,True,True
81,Überlandwerk Leinetal GmbH,Am Eltwerk 1,31028,Gronau,True,True
82,Überlandwerk Rhön GmbH,Sondheimer Str. 5,97638,Mellrichstadt,True,True
83,Überlandwerk Schäftersheim GmbH & Co. KG,Klosterhof 3,97990,Weikersheim,True,True
84,17er Oberlandenergie GmbH,Viehmarktplatz 1,82418,Murnau am Staffelsee,True,True
85,24/7 Energie und Kommunikation GmbH,Meeboldstraße 1,89522,Heidenheim,True,True
86,AVU Aktiengesellschaft für Versorgungs-Unternehmen,An der Drehbank 18,58285,Gevelsberg,True,True
87,Abita Energie Otterberg GmbH,Bismarckstrasse 14,67655,Kaiserslautern,True,True
88,AggerEnergie GmbH,Alexander-Fleming-Str. 2,51643,Gummersbach,True,True
89,Ahrtal-Werke GmbH,Hauptstraße 116,53474,Bad Neuenahr-Ahrweiler,True,True
90,Albstadtwerke GmbH,Goethestraße 91,72461,Albstadt,True,True
91,Albwerk GmbH & Co. KG,Eybstr. 98-100,73312,Geislingen an der Steige,True,True
92,Allgäuer Überlandwerk GmbH,Illerstraße 18,87435,Kempten,True,True
93,Allgäuer Kraftwerke GmbH,Am Alten Bahnhof 10,87527,Sonthofen,True,True
94,Ammer-Loisach Energie GmbH,Schnitzlergasse 5,82487,Oberammergau,True,True
95,"BELKAW Bergische Licht-, Kraft- und Wasserwerke GmbH",Hermann-Löns-Str. 131-133,51469,Bergisch-Gladbach,True,True
96,BEW Bergische Energie- und Wasser-GmbH,Sonnenweg 30,51688,Wipperfürth,True,True
97,BIGGE ENERGIE GmbH & Co. KG,In der Stesse 14,57439,Attendorn,True,True
98,Bad Lauterberg Energie GmbH,Bahnhofstraße 17-19,37431,Bad Lauterberg im Harz,True,True
99,BeSte Stadtwerke GmbH,Im Altenhagen 1,32839,Steinheim,True,True
100,Blomberger Versorgungsbetriebe GmbH,Nederlandstraße 15,32825,Blomberg,True,True
101,Bocholter Energie- und Wasserversorgung GmbH,Kaiser-Wilhelm-Straße 1,46395,Bocholt,True,True
102,"E-Werk Satrup, Heinrich N. Clausen GmbH & Co.KG",Mühlenstraße 11,24986,Satrup,True,True
103,E-Werke Haniel Haimhausen OHG,Dachauer Straße 4 a,85778,Haimhausen,True,True
104,EAM Energie GmbH,Monteverdistraße 2,34131,Kassel,True,True
105,EGT Energievertrieb GmbH,Schonacher Str. 2,78098,Triberg,True,True
106,EMB - Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG,Luitpoldstraße 17,63897,Miltenberg,True,True
107,ENNI Energie & Umwelt Niederrhein GmbH,Uerdinger Straße 31,47441,Moers,True,True
108,ENRW Energieversorgung Rottweil GmbH & Co. KG,In der Au 5,78628,Rottweil,True,True
109,EWG Elektrizitätsversorgung Werther GmbH,Alte Bielefelder Straße 28,33824,Werther,True,True
110,EWR GmbH - Energie und Wasser für Remscheid,Neuenkamper Straße 81-87,42855,Remscheid,True,True
111,EWV Energie- und Wasser-Versorgung GmbH Stolberg,Willy-Brandt-Platz 2,52222,Stolberg,True,True
112,EZV Energie- und Service GmbH & Co. KG Untermain,Landstraße 47,63939,Wörth a. Main,True,True
113,Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH,Am Euzenberg 32,37115,Duderstadt,True,True
114,Elektra-Genossenschaft Effeltrich eG,Hauptstr. 1,91090,Effeltrich,True,True
115,Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen eG,Lindenstraße 14,83620,Feldkirchen-Westerham,True,True
116,Elektrizitäts-Genossenschaft Tacherting-Feichten e.G.,Stefan-Flötzl-Str. 4,83342,Tacherting,True,True
117,Elektrizitäts-Genossenschaft Vogling & Angrenzer eG,Höpfling 2,83313,Siegsdorf,True,True
118,Elektrizitäts-Genossenschaft Wolkersdorf und Umgebung eG,Schmidhamer Str. 26,83278,Traunstein-Wolkersdorf,True,True
119,Elektrizitäts-Werk Mainbernheim GmbH,Am Wehrbach 1,97350,Mainbernheim,True,True
120,Elektrizitäts-Werk Ottersberg,Grüne Straße 24,28870,Ottersberg,True,True
121,Elektrizitätsgenossenschaft Engelsberg e.G.,Osnabrücker Straße 31a,49219,Glandorf,True,True
122,Elektrizitätsgenossenschaft Karlstein eG,Weitwiesenring 6,83435,Bad Reichenhall,True,True
123,Elektrizitätsgenossenschaft Ohlstadt eG,Schwaigweg 7,82441,Ohlstadt,True,True
124,Elektrizitätsgenossenschaft Rettenberg eG,Burgberger Str. 24,87549,Rettenberg,True,True
125,Elektrizitätsvereinigung Böbing eG,Riedelweg 2,82389,Böbing,True,True
126,Elektrizitätsversorgung (EVU) der Gemeinde Gochsheim,Am Plan 4-6,97469,Gochsheim,True,True
127,Elektrizitätswerk Gemeinde Glattbach,Im Wiesengrund 3,63864,Glattbach,True,True
128,Elektrizitätswerk Hammermühle Versorgungsgesellschaft mbH,Im Geisenborn 4,56242,Selters,True,True
129,Elektrizitätswerk Hindelang eG,Weidachstrasse 9,87541,Bad Hindelang,True,True
130,Elektrizitätswerk Karl Stengle GmbH & Co KG,Niedere-Au-Straße 11,72108,Rottenburg a. N.,True,True
131,Elektrizitätswerk Oberwössen eG,Dorfstraße 28,83246,Oberwössen,True,True
132,Elektrizitätswerk Rieger GmbH & Co. KG,Friedrichstrasse 16,72805,Lichtenstein,True,True
133,Elektrizitätswerk Tegernsee Vertriebs- und Service-KG,Hochfeldstraße 3,83684,Tegernsee,True,True
134,Elektrizitätswerk Wanfried von Scharfenberg KG,Unter der Tränke 1,37281,Wanfried,True,True
135,Elektrizitätswerk des Kantons Schaffhausen AG,Rheinstr. 37,CH-8200 ,Schaffhausen,True,True
136,Elektrizitätswerke Reutte GmbH & Co KG,Lechhalde 1 1/2,87629,Füssen,True,True
137,Emscher Lippe Energie GmbH,Ebertstr.30,45879,Gelsenkirchen,True,True
138,EnBW Ostwürttemberg DonauRies Aktiengesellschaft ODR,Unterer Brühl 2,73479,Ellwangen,True,True
139,Energie Rhein-Sieg GmbH,Südstraße 27,53757,Sankt Augustin,True,True
140,Energie Südbayern GmbH,Ungsteiner Straße 31,81539,München,True,True
141,Energie Vorpommern GmbH,Wiesenweg 6,17449,Trassenheide,True,True
142,Energie Waldeck-Frankenberg GmbH,Arolser Landstr. 27,34497,Korbach,True,True
143,Energie und Versorgung Butzbach GmbH,Himmrichsweg 2,35510,Butzbach,True,True
144,Energie und Wasser Potsdam GmbH,Steinstr. 101,14480,Potsdam,True,True
145,Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co KG,Am Wasserwerk 5,23795,Bad Segeberg,True,True
146,Energie- und Wasserversorgung Altenburg GmbH,Franz-Mehring-Straße 6,04600,Altenburg,True,True
147,Energie- und Wasserversorgung Bünde GmbH,Osnabrücker Str. 205,32257,Bünde,True,True
148,Energie- und Wasserversorgung Bitz GmbH,Goethestraße 91,72461,Albstadt,True,True
149,Energie- und Wasserversorgung Bruchsal GmbH,,76646,Bruchsal,True,True
150,Energie- und Wasserversorgung Kirchzarten GmbH,Hauptstrasse 24,79199,Kirchzarten,True,True
151,Energie- und Wasserversorgung Rheine GmbH,Hafenbahn 10,48431,Rheine,True,True
152,Energie- und Wasserwerke Bautzen GmbH,Schäfferstraße 44,02625,Bautzen,True,True
153,Energie-Gesellschaft Unterkirnach mbH,Hauptstraße 5,78089,Unterkirnach,True,True
154,EnergieSüdwest Aktiengesellschaft,Industriestr. 18,76829,Landau,True,True
155,Energiegenossenschaft für Wittmund eG,Aseler-Str. 10,26409,Wittmund,True,True
156,Energieversorgung Bad Bentheim GmbH & Co. KG,Schloßstraße 2a,48455,Bad Bentheim,True,True
157,Energieversorgung Bad Boll GmbH,Eybstraße 98 - 102,73312,Geislingen,True,True
158,Energieversorgung Buching-Trauchgau GmbH,Lechbrucker Str. 4,87642,Halblech,True,True
159,Energieversorgung Dahlenburg-Bleckede AG,Lüneburger Straße 21,21368,Dahlenburg,True,True
160,Energieversorgung Gaildorf OHG,Burg 2,74405,Gaildorf - Unterrot,True,True
161,Energieversorgung Gera GmbH,De-Smit-Straße 18,07545,Gera,True,True
162,Energieversorgung Greiz GmbH,Mollbergstraße 20,07973,Greiz,True,True
163,Energieversorgung Lenningen GmbH,Eybstraße 98 - 102,73252,Lenningen,True,True
164,Energieversorgung Leverkusen GmbH & Co. KG,Overfeldweg 23,51371,Leverkusen,True,True
165,Energieversorgung Limburg GmbH,Ste.-Foy-Straße 36,65549,Limburg an der Lahn,True,True
166,Energieversorgung Lohr-Karlstadt und Umgebung GmbH,Zum Helfenstein 4 - 6,97753,Karlstadt,True,True
167,Energieversorgung Münchberg-Schwarzenbach/Saale GmbH & Co.KG,Mühlgasse 5,95213,Münchberg,True,True
168,Energieversorgung Main-Spessart GmbH,Boschweg 9,63741,Aschaffenburg,True,True
169,Energieversorgung Mainhardt Wüstenrot GmbH & Co. KG,Hauptstraße 1,74535,Mainhardt,True,True
170,Energieversorgung Mittelrhein AG,Ludwig-Erhard-Str. 8,56073,Koblenz,True,True
171,Energieversorgung Nordhausen GmbH,Straße der Genossenschaften 93,99734,Nordhausen,True,True
172,Energieversorgung Oberes Wiesental GmbH,Meinrad-Thoma-Straße 8a,79674,Todtnau,True,True
173,Energieversorgung Oberstdorf GmbH,Nebelhornstraße 51-53,87561,Oberstdorf,True,True
174,Energieversorgung Offenbach AG,Andréstraße 71,63067,Offenbach,True,True
175,Energieversorgung Oy-Kressen e.G.,Sonnenmulde 1,87466,Oy-Mittelberg,True,True
176,Energieversorgung Rüsselsheim GmbH,Walter-Flex-Straße 74,65428,Rüsselsheim,True,True
177,Energieversorgung Rudolstadt GmbH,Oststraße 18,07407,Rudolstadt,True,True
178,Energieversorgung Südbaar GmbH & Co.KG,Leo-Wohleb-Str. 3,78176,Blumberg,True,True
179,Energieversorgung Schmid,Mühlenstraße 44,83417,Kirchanschöring,True,True
180,Energieversorgung Sehnde GmbH,Nordstraße 19,31319,Sehnde,True,True
181,Energieversorgung Sylt GmbH,Friesische Str. 53,25980,Westerland,True,True
182,Energieversorgung Titisee-Neustadt GmbH,Gutachstr. 13,79822,Titisee-Neustadt,True,True
183,Energieversorgung Trossingen GmbH,Bahnhofstraße 9,78647,Trossingen,True,True
184,Energiewerk Meckenheim,Hauptstr. 58,67149,Meckenheim,True,True
185,Energiewerke Isernhagen GmbH,Bothfelder Straße 31,30916,Isernhagen,True,True
186,Energiewerke Zeulenroda GmbH,Lohweg 8,07937,Zeulenroda,True,True
187,Erhard Bürk-Kauffmann GmbH,Neuffenstraße 27-29,78056,Villingen-Schwenningen,True,True
188,Erlanger Stadtwerke AG,Äußere Bruckstr. 33,91052,Erlangen,True,True
189,FREITALER STROM+GAS GMBH,Potschappler Straße 2,01705,Freital/Sachsen,True,True
190,Feuchter Gemeindewerke GmbH,Unterer Zeidlerweg 1,90537,Feucht,True,True
191,Filderstadtwerke,Brühlstraße 41,70794,Filderstadt-Sielmingen,True,True
192,Fischereihafen-Betriebsgesellschaft mbH,Lengstraße 1,27572,Bremerhaven,True,True
193,Freiberger Stromversorgung GmbH,Poststraße 5,09599,Freiberg,True,True
194,Freisinger Stadtwerke Versorgungs-GmbH,Wippenhauser Str. 19,85354,Freising,True,True
195,GASPAR - eine Marke der rhenag Rheinische Energie AG,Bayenthalgürtel 9,50968,Köln,True,True
196,GEW Wilhelmshaven GmbH,Nahestraße 6,26382,Wilhelmshaven,True,True
197,GSW Gemeinschaftsstadtwerke GmbH Kamen - Bönen - Bergkamen,Poststraße 4,59174,Kamen,True,True
198,GWG Grevenbroich GmbH,Nordstrasse 36,41515,Grevenbroich,True,
199,GWS Stadtwerke Hameln GmbH,Hafenstrasse 14,31785,Hameln,True,True
200,Gas- und Wasserversorgung Höxter GmbH,Corveyer Allee 21,37671,Höxter,True,True
201,Gebrüder Eirich GmbH & Co KG Elektrizitätswerk,Walldürner Str. 50,74736,Hardheim,True,True
202,Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG,Halmeil 3,77709,Wolfach-Halbmeil,True,True
203,Gemeinde Heroldsbach Stromversorgung,Hauptstraße 9,91336,Heroldsbach,True,True
204,Gemeindewerk Hördt,Am Deutschordensplatz 1,76761,Rülzheim,True,True
205,Gemeindewerke Ammerbuch GmbH,Kirchstraße 6,72119,Ammerbuch,True,True
206,Gemeindewerke Bad Sassendorf GmbH & Co. KG,Eichendorffstraße 1,59505,Bad Sassendorf,True,True
207,Gemeindewerke Baiersbronn,Oberdorfstr. 46,72270,Baiersbronn,True,True
208,Gemeindewerke Bobenheim-Roxheim,Rathausplatz,67240,Bobenheim-Roxheim,True,True
209,Gemeindewerke Budenheim AöR,Untere Stefanstr. 65,55257,Budenheim,True,True
210,Gemeindewerke Frammersbach,Marktplatz 3 (Rathaus),97833,Frammersbach,True,True
211,Gemeindewerke Garmisch-Partenkirchen,Adlerstraße 25,82467,Garmisch-Partenkirchen,True,True
212,Gemeindewerke Georgensgmünd,Bahnhofstrasse 4,91166,Georgensgmünd,True,True
213,Gemeindewerke Großkrotzenburg GmbH,Anne-Frank-Platz 10,63538,Großkrotzenburg,True,True
214,Gemeindewerke Gundelfingen GmbH,Alte Bundesstr. 31,79194,Gundelfingen,True,True
215,Gemeindewerke Hünxe GmbH,In der Beckkuhl 4,46569,Hünxe,True,True
216,Gemeindewerke Haßloch GmbH,Gottlieb-Duttenhöfer-Straße 27,67454,Haßloch,True,True
217,Gemeindewerke Halstenbek,Ostereschweg 9,25469,Halstenbek,True,True
218,Gemeindewerke Hardt,Mariazeller Str. 1,78739,Hardt,True,True
219,Gemeindewerke Heikendorf GmbH,Wasserwaage 1,24226,Heikendorf,True,True
220,Gemeindewerke Hermaringen,Karlstr. 12,89568,Hermaringen,True,True
221,Gemeindewerke Herxheim,Am Rathaus 6,76863,Herxheim,True,True
222,Gemeindewerke Hohenwestedt GmbH,Am Gaswerk 8,24594,Hohenwestedt,True,True
223,Gemeindewerke Holzkirchen GmbH,Industriestraße 8,83607,Holzkirchen,True,True
224,Gemeindewerke Kiefersfelden,Kufsteiner Straße 17,83088,Kiefersfelden,True,True
225,Gemeindewerke Krickenbach c/o Stadtwerke Kaiserslautern Versorgungs-AG,Burgstraße 11,67659,Kaiserslautern,True,True
226,Gemeindewerke Leck GmbH,Büllsbüller Chaussee 7,25917,Leck,True,
227,Gemeindewerke Markt Lichtenau,Ansbacher Straße 11,91586,Lichtenau,True,True
228,Gemeindewerke Nüdlingen,Kissinger Str. 1,97720,Nüdlingen,True,True
229,Gemeindewerke Nümbrecht GmbH,Schulstraße 4,51588,Nümbrecht,True,True
230,Gemeindewerke Neuendettelsau,Johann-Flierl-Str. 19,91564,Neuendettelsau,True,True
231,Gemeindewerke Niefern-Öschelbronn,Friedenstraße 11,75223,Niefern-Öschelbronn,True,True
232,Gemeindewerke Oberaudorf Elektrizitäts- und Wasserwerk,Kranzhornstraße 2,83080,Oberaudorf,True,True
233,Gemeindewerke Oberhaching GmbH,Alpenstraße 11,82041,Oberhaching,True,True
234,Gemeindewerke Partenstein,Hauptstrasse 24,97846,Partenstein,True,True
235,Gemeindewerke Peißenberg KU,Forster Str. 19,82380,Peißenberg,True,True
236,Gemeindewerke Peiner Land GmbH & Co.KG,Woltorfer Straße 64,31224,Peine,True,True
237,Gemeindewerke Pleinfeld,Marktplatz 11,91785,Pleinfeld,True,True
238,Gemeindewerke Rückersdorf,Brunnenweg 9,90607,Rückersdorf,True,True
