Energieversorgungsunternehmen (EVU),Ökostrom-Tarif,"Label(laut Website des EVU oderdes Label-Anbieters)","Grundpreispro Jahr in €(brutto)","Arbeitspreispro kWh in €(brutto)","Jahresgesamtpreis in €bei einem Jahresver-brauch von 3.500 kWh"
1,BS|Naturstrom Gold,Grüner Strom Label (Gold),"72,00","0,2724","1.025,40"
"",BS|Naturstrom,NEIN,"72,00","0,2652","1.000,20"
"",E.ON DirektStrom öko,NEIN,"85,00","0,2654","1.013,90"
2,E.ON DirektStrom öko 2018,NEIN,"85,00","0,2749","1.047,15"
"",E.ON OptimalStrom öko,NEIN,"85,00","0,2691","1.026,85"
"",E.ON OptimalStrom öko 2018,NEIN,"85,00","0,2786","1.060,10"
Eichsfelder Energie- und Wasserversorgungs GmbH,DUDSTROM Öko,NEIN,"90,00","0,2860","1.091,00"
Elektrizitätsgenossenschaft Hasbergen eG,kein Ökostrom-Tarif,,,,
"",EW o.k. Naturstrom Kontingent 1000,NEIN,"71,40","0,2499","946,05"
"",EW o.k. Naturstrom Kontingent 2000,NEIN,"83,30","0,2499","957,95"
"",EW o.k. Naturstrom Kontingent 500,NEIN,"65,45","0,2499","940,10"
"",Grundversorgung Naturstrom Kontingent 1000,NEIN,"66,90","0,2670","1.001,40"
"",Grundversorgung Naturstrom Kontingent 2000,NEIN,"78,80","0,2670","1.013,30"
"",Grundversorgung Naturstrom Kontingent 500,NEIN,"60,95","0,2670","995,45"
"",Naturstrom EW o.k.,NEIN,"59,50","0,2618","975,80"
"",Naturstrom GT,NEIN,"55,00","0,2789","1.031,15"
Energiegenossenschaft für Wittmund eG,EG NaturWatt®,TÜV NORD (Standard A75-S026-1),"65,45","0,2662","997,15"
"",Classic,4KlimaINVEST Ökostrom,"72,00","0,2720","1.024,00"
"",Favorit 24,4KlimaINVEST Ökostrom,"96,00","0,2490","967,50"
3Energieversorgung Dahlenburg-Bleckede AG,Garant 24,4KlimaINVEST Ökostrom,"60,00","0,2580","963,00"
"",Nachtaktiv,4KlimaINVEST Ökostrom,"129,00","0,2610","1.042,50"
"",Natur 24,KlimaINVEST RE,"72,00","0,2595","980,25"
"",Sehnder ÖKOSTROM Fix,KlimaINVEST Ökostrom,"111,36","0,2625","1.030,11"
"",Sehnder ÖKOSTROM,KlimaINVEST Ökostrom,"111,36","0,2645","1.037,11"
"",EVI BioStrom,KlimaINVEST Ökostrom,"88,90","0,2638","1.012,20"
"",EVI AquaStrom,NEIN,"99,00","0,2818","1.085,30"
"",EWE Werder Strom,NEIN,"71,40","0,2770","1.040,90"
EWE AG,EWE Strom NaturWatt®,TÜV NORD (Standard A75-S026-1),"71,40","0,2818","1.057,70"
"",EWE Strom NaturWatt® fix,TÜV NORD (Standard A75-S026-1),"71,40","0,2877","1.078,35"
"",EWI ÖkoStrom,TÜV Rheinland,"86,87","0,2750","1.049,37"
"",EWI ÖkoStrom 2017,TÜV Rheinland,"86,87","0,2641","1.011,22"
3,Grund-und Ersatzversorgung,RenewablePLUS,"57,12","0,2738","1.015,42"
"",Plesse-Strom,RenewablePLUS,"78,54","0,2536","966,14"
GEW Wilhelmshaven GmbH,havenstrom natur,NEIN,"79,00","0,2723","1.032,05"
"",regioNATUR.STROM (regioPLUS.STROM),Grüner Strom Label,"116,40","0,2661","1.047,75"
"",regioNATUR.STROM (regio.STROM),Grüner Strom Label,"59,88","0,2851","1.057,73"
Harz Energie GmbH & Co. KG,Harz Energie ökoStrom,NEIN,"111,86","0,2504","988,26"
"",LSW • ÖkoStrom,NEIN,"108,00","0,2432","959,20"
"",LSW • VfLÖkoStrom,NEIN,"108,00","0,2432","959,20"
nvb Nordhorner Versorgungsbetriebe GmbH,5cleverstrom fairKlima,4KlimaINVEST Ökostrom,"90,00","0,2348","911,80"
"",NATURWATT®,TÜV NORD (Standard A75-S026-1),"70,00","0,2741","1.029,35"
"",NATURWATT®-FEST,TÜV NORD (Standard A75-S026-1),"70,00","0,2681","1.008,35"
2RWE Vertrieb AG,6RWE Naturstrom,NEIN,"99,96","0,2855","1.099,21"
"",NaturWatt®-Strom,TÜV NORD (Standard A75-S026-1),"76,95","0,2549","969,10"
"",NaturWatt®-online,TÜV NORD (Standard A75-S026-1),"76,95","0,2445","932,70"
Stadtwerke Bad Harzburg GmbH,NaturWatt-Strom®,TÜV NORD (Standard A75-S026-1),"86,00","0,2675","1.022,25"
"",7Emmer.strom (Grundversorgung),NEIN,"59,50","0,3075","1.135,75"
Stadtwerke Bad Pyrmont Energie und Verkehrs GmbH,7Emmer.strom (Pyrmont.comfort),NEIN,"59,50","0,3027","1.118,95"
"",7Emmer.strom (Pyrmont.optional),NEIN,"59,50","0,3051","1.127,35"
Stadtwerke Bad Sachsa GmbH,NaturWatt Strom,TÜV NORD (Standard A75-S026-1),"59,50","0,2865","1.062,25"
Stadtwerke Bad Salzdetfurth GmbH,kein Ökostrom-Tarif,,,,
"",böhmex•NaturWatt© Strom,TÜV NORD (Standard A75-S026-1),"78,54","0,2629","998,69"
"",böhme•NaturWatt© Strom,TÜV NORD (Standard A75-S026-1),"78,54","0,2525","962,29"
Stadtwerke Bramsche GmbH,kein Ökostrom-Tarif,,,,
Stadtwerke Buchholz in der Nordheide GmbH,Buchholz NaturWatt-Strom,TÜV NORD (Standard A75-S026-1),"78,86","0,2712","1.028,06"
Stadtwerke Burgdorf GmbH,NaturWatt® Strom,TÜV NORD (Standard A75-S026-1),"90,00","0,2698","1.034,30"
Stadtwerke Buxtehude GmbH,NaturWatt-Strom,TÜV NORD (Standard A75-S026-1),"78,37","0,2564","975,77"
3,Grund- und Ersatzversorgungstarif,KlimaINVEST Ökostrom,"60,69","0,2824","1.049,09"
"",Clausthaler Privat,KlimaINVEST Ökostrom,"112,46","0,2466","975,56"
"",STROM NaturWatt® (Grundversorgung),TÜV NORD (Standard A75-S026-1),"64,32","0,2851","1.062,17"
"",STROM NaturWatt® (Strom Bestpreis),TÜV NORD (Standard A75-S026-1),"71,40","0,2708","1.019,20"
1Stadtwerke Emden GmbH,,,,,
"",Naturstrom_privat +,TÜV NORD (Standard 1304),"65,45","0,2777","1.037,40"
"",Naturstrom_privat,TÜV NORD (Standard 1304),"65,45","0,2772","1.035,65"
Stadtwerke Garbsen GmbH,NaturWatt®Strom,TÜV NORD (Standard A75-S026-1),"75,57","0,2442","930,27"
Stadtwerke Georgsmarienhütte GmbH,7Hütterstrom Klima (kombiniert mit HÜTTERstrom Haushalt),TÜV NORD (Standard A75-S026-1),"77,16","0,2636","999,76"
"",enercity UmweltStrom (incl. Umweltförderung 3 ct/kWh),Grüner Strom Label,"66,95","0,3252","1.205,15"
"",Energieversorgungsunternehmen (EVU),Ökostrom-Tarif,"Label(laut Website des EVU oderdes Label-Anbieters)","Grundpreispro Jahr in €(brutto)","Arbeitspreispro kWh in €(brutto)","Jahresgesamtpreis in €bei einem Jahresver-brauch von 3.500 kWh"
"",Stadtwerke Lingen GmbH,Stadtwerke 'Natur',NEIN,"71,40","0,2635","993,65"
"",Stadtwerke Munster-Bispingen GmbH,"heidjerStrom  ""klima""",TÜV NORD (Standard A75-S026-1),"90,00","0,2680","1.028,00"
"",Stadtwerke Neustadt a. Rbge. GmbH,ener-ü Strom Natur,NEIN,"77,35","0,2812","1.061,55"
"",,7NEYSTROM STANDARD,TÜV NORD (Standard A75-S026-1),"53,55","0,2679","991,20"
"",,7NEYSTROM SPEZIAL,TÜV NORD (Standard A75-S026-1),"64,26","0,2525","948,01"
"","1, 3",Grund-und Ersatzversorgung,RenewablePLUS,"57,12","0,2732","1.013,32"
"",,NOMstrom,RenewablePLUS,"65,40","0,2528","950,20"
"",Stadtwerke Osnabrück AG,Strom fixnatur,NEIN,"81,36","0,2472","946,56"
"",,stromBasis,NEIN,"99,96","0,2917","1.120,91"
"",,stromDirekt,NEIN,"71,40","0,2567","969,85"
"",3Stadtwerke Peine GmbH,stromIdeal,NEIN,"71,40","0,2618","987,70"
"",,stromPlus,NEIN,"99,96","0,2726","1.054,06"
"",,stromPur,NEIN,"85,68","0,2720","1.037,68"
"",,TrendStrom,NEIN,"110,81","0,2952","1.144,01"
"",,TrendStrom Lokal,NEIN,"110,81","0,3145","1.211,56"
"",,SR Natur plus,TÜV NORD (Standard A75-S026-1),"85,00","0,2640","1.009,00"
"",,SR Natur,TÜV NORD (Standard A75-S026-1),"85,00","0,2550","977,50"
"",Stadtwerke Schaumburg-Lippe GmbH,STROMÖKO,NEIN,"142,80","0,2689","1.083,95"
"",Stadtwerke Schneverdingen-Neuenkirchen GmbH,NaturWatt,"TÜV NORD (Standard A75-S026-1), (EcoTopTen)","71,40","0,2772","1.041,60"
"",Stadtwerke Schüttorf GmbH,SWS Strom Natur,NEIN,"99,96","0,2599","1.009,61"
"",3,Grundversorgung,TÜV NORD (Standard 1304),"51,29","0,2574","952,19"
"",,Inclusiv 2000 plus,TÜV NORD (Standard 1304),"82,07","0,2466","945,17"
"",Stadtwerke Springe GmbH,Springe|Naturstrom,Grüner Strom Label,"72,00","0,2667","1.005,45"
"",Stadtwerke Stade GmbH,NaturWatt fix,TÜV NORD (Standard A75-S026-1),"79,00","0,2561","975,35"
"",,Ökostromtarif mycity basis,TÜV SÜD EE02,"72,00","0,2820","1.059,00"
"",3Stadtwerke Uelzen GmbH,Ökostromtarif mycity fiff,TÜV SÜD EE02,"0,00","0,3282","1.148,70"
"",,Ökostromtarif mycity fix,TÜV SÜD EE02,"72,00","0,2752","1.035,20"
"",,7Grundversorgung (Öko-Tarif),TÜV NORD (Standard A75-S026-1),"79,97","0,2798","1.059,27"
"",,7Solling-Strom (Öko-Tarif),TÜV NORD (Standard A75-S026-1),"89,54","0,2675","1.025,79"
"",Stadtwerke Verden GmbH,VerNaturstrom,TÜV NORD (Standard A75-S026-1),"106,80","0,2720","1.058,80"
"",Stadtwerke Winsen (Luhe) GmbH,Stadtwerke NaturWatt,TÜV NORD (Standard A75-S026-1),"86,40","0,2526","970,50"
"",,WF-eco Strom,NEIN,"90,82","0,2720","1.042,82"
"",,WF-natur Strom,4TÜV NORD (Standard A75-S026-1),"90,82","0,2891","1.102,67"
"",Stadtwerke Zeven GmbH,ZevenNaturWatt Premiumqualität,TÜV NORD (Standard A75-S026-1),"77,35","0,2525","961,10"
"",SVO Vertrieb GmbH,SVO Strom |natürlich,NEIN,"78,60","0,2536","966,20"
"",1,PuraStrom cleverFIX,TÜV SÜD EE02,"99,96","0,2736","1.057,56"
"",,PuraStrom,TÜV SÜD EE02,"99,96","0,2672","1.035,16"
"",,NaturEnergie (Grundversorgung),TÜV Rheinland,"67,83","0,2799","1.047,31"
"",,NaturEnergie (Sondervertrag),TÜV Rheinland,"109,48","0,2606","1.021,44"
"",Versorgungsbetriebe Hann. Münden GmbH,MÜNDENökostrom,NEIN,"81,63","0,2630","1.002,13"
"",,NaturWatt Strom,TÜV NORD (Standard A75-S026-1),"98,25","0,2774","1.069,15"
"",,NaturWatt-Strom online fix,TÜV NORD (Standard A75-S026-1),"99,96","0,2570","999,46"
"",Wirtschaftsbetriebe der Stadt Norden GmbH - Stadtwerke Norden,NöRDER strom natur,KlimaINVEST Ökostrom,"53,55","0,2590","960,05"
